frame,object,object_id,object_label,confidence,tracking_state,x,y,z,vx,xy,vz,width,height,length
75,0,6,Person,91.50391,OK,-0.82098,0.12343,2.95706,0.06396,-0.02478,1.17214,0.53181,0.93260,0.53181
75,3,1,Person,42.26074,OK,12.55682,-0.26546,29.85493,-0.33291,0.00290,-0.21646,0.68533,1.50609,0.68533
76,0,6,Person,91.60156,OK,-0.81339,0.12413,2.99631,0.07753,-0.02495,1.17568,0.52634,0.94097,0.52634
76,3,1,Person,37.74414,OK,12.54848,-0.26569,29.85766,-0.32665,0.00206,-0.16953,0.68424,1.50069,0.68424
77,0,6,Person,91.40625,OK,-0.80500,0.12503,3.03649,0.09270,-0.02519,1.17996,0.52103,0.94927,0.52103
77,3,1,Person,42.33398,OK,12.53096,-0.26610,29.86072,-0.36136,0.00179,-0.16315,0.68180,1.49480,0.68179
78,0,6,Person,91.65039,OK,-0.79505,0.12618,3.07399,0.11187,-0.02502,1.17040,0.51679,0.95739,0.51679
78,3,1,Person,40.35645,OK,12.52305,-0.26654,29.85980,-0.32436,0.00278,-0.19905,0.67941,1.49113,0.67941
79,0,6,Person,91.79688,OK,-0.78435,0.12749,3.12474,0.12967,-0.02599,1.22106,0.51340,0.96576,0.51340
79,3,1,Person,45.80078,OK,12.52748,-0.26687,29.86136,-0.24893,0.00274,-0.18329,0.68340,1.48987,0.68340
80,0,6,Person,91.60156,OK,-0.77345,0.12894,3.18004,0.14515,-0.02691,1.27047,0.51068,0.97445,0.51069
80,2,1,Person,48.53516,OK,12.52580,-0.26693,29.85738,-0.25813,0.00320,-0.20571,0.68865,1.49133,0.68865
81,0,6,Person,90.67383,OK,-0.76276,0.13051,3.24463,0.15819,-0.02859,1.34662,0.50851,0.98357,0.50852
81,2,1,Person,44.45801,OK,12.52803,-0.26691,29.85427,-0.21066,0.00342,-0.20583,0.69306,1.49240,0.69306
82,0,6,Person,90.82031,OK,-0.75126,0.13220,3.30734,0.17517,-0.02953,1.39990,0.50678,0.99311,0.50678
82,2,1,Person,48.63281,OK,12.53032,-0.26678,29.85540,-0.19056,0.00265,-0.16614,0.69611,1.49416,0.69611
83,0,6,Person,91.79688,OK,-0.73005,0.13470,3.42457,0.19518,-0.03115,1.47035,0.50637,1.00409,0.50636
83,2,1,Person,50.87891,OK,12.53322,-0.26621,29.87437,-0.17631,0.00117,-0.09408,0.70088,1.49746,0.70088
84,0,6,Person,91.50391,OK,-0.71668,0.13614,3.48520,0.21888,-0.03187,1.50923,0.50869,1.01543,0.50869
84,2,1,Person,54.58984,OK,12.53550,-0.26552,29.86680,-0.17951,0.00180,-0.12343,0.70711,1.50081,0.70711
85,0,6,Person,91.65039,OK,-0.70090,0.13780,3.54134,0.24380,-0.03205,1.52336,0.51325,1.02722,0.51325
85,2,1,Person,56.00586,OK,12.53649,-0.26459,29.85985,-0.17909,0.00179,-0.12314,0.70920,1.50376,0.70921
86,0,6,Person,92.23633,OK,-0.68447,0.13960,3.59903,0.26404,-0.03254,1.54609,0.52025,1.03946,0.52025
86,2,1,Person,58.69141,OK,12.53777,-0.26347,29.84869,-0.18560,0.00188,-0.12762,0.71890,1.50708,0.71890
87,0,6,Person,92.23633,OK,-0.66726,0.14154,3.65449,0.28509,-0.03277,1.55688,0.53023,1.05197,0.53023
87,2,1,Person,60.69336,OK,12.54109,-0.26228,29.84659,-0.15767,0.00160,-0.10841,0.72731,1.50998,0.72731
88,0,6,Person,93.06641,OK,-0.65071,0.14367,3.70434,0.29959,-0.03251,1.54459,0.54298,1.06457,0.54298
88,2,1,Person,60.74219,OK,12.56285,-0.26110,29.84933,-0.11476,0.00118,-0.07891,0.73195,1.51292,0.73195
89,0,6,Person,92.62695,OK,-0.63391,0.14604,3.75135,0.31592,-0.03200,1.52779,0.55991,1.07670,0.55991
89,2,1,Person,61.03516,OK,12.57868,-0.25967,29.85625,-0.09217,0.00093,-0.06338,0.72981,1.51688,0.72981
90,0,6,Person,93.11523,OK,-0.61820,0.14868,3.79718,0.32561,-0.03173,1.50966,0.58134,1.08860,0.58134
90,2,1,Person,67.48047,OK,12.59675,-0.25781,29.85964,-0.10950,0.00111,-0.07529,0.73235,1.52051,0.73235
91,0,6,Person,93.35938,OK,-0.60624,0.15158,3.84054,0.32007,-0.03086,1.48398,0.60414,1.10039,0.60414
91,2,1,Person,69.43359,OK,12.60433,-0.25560,29.86180,-0.09821,0.00098,-0.06753,0.73043,1.52385,0.73043
92,0,6,Person,93.65234,OK,-0.59516,0.15481,3.87897,0.31951,-0.03020,1.44412,0.62777,1.11164,0.62777
92,2,1,Person,65.13672,OK,12.61161,-0.25318,29.86199,-0.11329,0.00115,-0.07790,0.72730,1.52641,0.72730
93,0,6,Person,93.99414,OK,-0.58501,0.15837,3.91675,0.31615,-0.02969,1.40929,0.65113,1.12261,0.65113
93,2,1,Person,59.27734,OK,12.62316,-0.25083,29.85725,-0.15593,0.00158,-0.10722,0.72442,1.52766,0.72441
94,0,6,Person,94.48242,OK,-0.57789,0.16212,3.96103,0.30101,-0.02976,1.40699,0.67014,1.13347,0.67014
94,2,1,Person,57.66602,OK,12.63608,-0.24876,29.85872,-0.12987,0.00136,-0.08930,0.71986,1.52969,0.71986
95,0,6,Person,93.99414,OK,-0.57393,0.16604,4.01066,0.27741,-0.03015,1.41925,0.68432,1.14451,0.68432
95,2,1,Person,59.27734,OK,12.64831,-0.24662,29.85683,-0.16195,0.00166,-0.11136,0.71884,1.53148,0.71884
96,0,6,Person,93.94531,OK,-0.57151,0.17006,4.06342,0.25589,-0.03067,1.43733,0.69287,1.15570,0.69287
96,2,1,Person,56.88477,OK,12.65534,-0.24464,29.85581,-0.14832,0.00151,-0.10198,0.72514,1.53285,0.72514
97,0,6,Person,93.99414,OK,-0.57017,0.17405,4.12034,0.23445,-0.03140,1.46844,0.69615,1.16720,0.69615
97,2,1,Person,53.90625,OK,12.66061,-0.24288,29.86353,-0.10149,0.00105,-0.06978,0.73056,1.53493,0.73056
98,0,6,Person,94.28711,OK,-0.56971,0.17801,4.17806,0.21210,-0.03205,1.49454,0.69432,1.17917,0.69432
98,2,1,Person,50.87891,OK,12.67089,-0.24116,29.86529,-0.13476,0.00140,-0.09266,0.73710,1.53616,0.73710
99,0,6,Person,94.14062,OK,-0.57044,0.18193,4.23540,0.18317,-0.03280,1.51665,0.69093,1.19152,0.69093
99,2,1,Person,49.51172,OK,12.68051,-0.23944,29.86526,-0.14908,0.00156,-0.10250,0.74304,1.53755,0.74304
100,0,6,Person,93.89648,OK,-0.57164,0.18588,4.28817,0.15588,-0.03278,1.51774,0.68582,1.20418,0.68582
100,2,1,Person,56.20117,OK,12.69040,-0.23760,29.85527,-0.19082,0.00196,-0.13120,0.74916,1.53965,0.74916
101,0,6,Person,93.35938,OK,-0.57281,0.18981,4.34297,0.13173,-0.03316,1.53137,0.68062,1.21720,0.68062
101,2,1,Person,55.90820,OK,12.70792,-0.23566,29.84856,-0.21860,0.00222,-0.15031,0.75128,1.54126,0.75128
102,0,6,Person,93.26172,OK,-0.57376,0.19370,4.39539,0.11130,-0.03283,1.53274,0.67822,1.23049,0.67822
102,2,1,Person,58.39844,OK,12.73426,-0.23376,29.84142,-0.26411,0.00268,-0.18160,0.74155,1.54262,0.74155
