frame,object,object_id,object_label,confidence,tracking_state,x,y,z,vx,xy,vz,width,height,length
39,1,1,Person,46.28906,OK,12.86295,-0.29379,30.33451,-0.08093,0.00661,-0.32272,0.71145,1.46133,0.71146
40,0,0,Person,86.52344,OK,-0.55481,0.07297,1.16497,0.01559,0.00216,-0.09646,0.49994,0.23657,0.49994
40,1,1,Person,46.28906,OK,12.88487,-0.29521,30.38773,0.13001,-0.00759,0.38163,0.71137,1.46289,0.71137
41,0,0,Person,84.66797,OK,-0.55590,0.07191,1.16622,0.01460,0.00204,-0.09035,0.49995,0.24326,0.49995
41,1,1,Person,51.95312,OK,12.89526,-0.29626,30.42375,0.11111,-0.00840,0.41177,0.71666,1.46817,0.71666
42,0,0,Person,87.69531,OK,-0.55387,0.07128,1.16153,0.00853,0.00119,-0.05276,0.49995,0.24945,0.49995
42,1,1,Person,45.33691,OK,12.91278,-0.29753,30.47212,0.14122,-0.00944,0.46760,0.72077,1.46862,0.72077
43,0,0,Person,90.57617,OK,-0.54588,0.07092,1.14535,0.00502,0.00070,-0.03106,0.49996,0.25536,0.49996
43,1,1,Person,48.24219,OK,12.91033,-0.29855,30.45089,0.09228,-0.00742,0.36358,0.73995,1.46788,0.73995
44,0,0,Person,90.62500,OK,-0.71407,0.06768,1.65063,0.11738,0.01646,-0.72620,0.49993,0.26868,0.49993
44,1,1,Person,53.61328,OK,12.90707,-0.29950,30.42824,0.07146,-0.00598,0.29140,0.76204,1.46555,0.76204
45,0,0,Person,89.45312,OK,-0.77145,0.06547,1.77649,-0.27590,-0.01743,0.74086,0.49993,0.28243,0.49993
45,1,1,Person,54.88281,OK,12.89724,-0.30022,30.40303,0.03825,-0.00324,0.15872,0.77723,1.46334,0.77723
46,0,0,Person,91.60156,OK,-0.79489,0.06400,1.84300,-0.26892,-0.01870,0.79419,0.49993,0.29670,0.49993
46,1,1,Person,47.07031,OK,12.88837,-0.30093,30.36872,0.05118,-0.00215,0.11106,0.76801,1.46164,0.76801
47,0,0,Person,92.33398,OK,-0.80705,0.06301,1.89214,-0.26085,-0.01947,0.83456,0.49993,0.31149,0.49993
47,1,1,Person,43.01758,OK,12.86625,-0.30158,30.32874,0.03438,-0.00144,0.07461,0.75438,1.46101,0.75438
48,0,0,Person,92.28516,OK,-0.81410,0.06235,1.92896,-0.25124,-0.01995,0.85235,0.49993,0.32686,0.49993
48,1,1,Person,46.77734,OK,12.86225,-0.30194,30.31108,0.03282,-0.00138,0.07122,0.75041,1.46591,0.75040
49,0,0,Person,92.62695,OK,-0.81924,0.06191,1.96181,-0.24199,-0.02014,0.86478,0.49993,0.34236,0.49993
49,1,1,Person,58.59375,OK,12.85526,-0.30201,30.30287,0.03481,-0.00147,0.07554,0.74210,1.47244,0.74210
50,0,0,Person,92.87109,OK,-0.82347,0.06162,1.99302,-0.23248,-0.02028,0.87296,0.49993,0.35811,0.49993
50,1,1,Person,55.17578,OK,12.84533,-0.30194,30.28615,0.02076,-0.00088,0.04505,0.73771,1.47686,0.73771
51,0,0,Person,93.79883,OK,-0.82695,0.06144,2.02241,-0.22193,-0.02028,0.87489,0.49993,0.37398,0.49993
51,1,1,Person,50.39062,OK,12.83562,-0.30153,30.26913,0.01648,-0.00070,0.03577,0.73130,1.48245,0.73130
52,0,0,Person,93.11523,OK,-0.82978,0.06134,2.05152,-0.21039,-0.02038,0.87725,0.49993,0.39003,0.49993
52,1,1,Person,56.10352,OK,12.81913,-0.30065,30.25290,0.03248,-0.00139,0.07048,0.72175,1.48709,0.72175
53,0,0,Person,92.91992,OK,-0.83250,0.06128,2.08198,-0.20041,-0.02053,0.88481,0.49993,0.40621,0.49993
53,1,1,Person,50.19531,OK,12.81480,-0.29967,30.25586,0.04585,-0.00196,0.09948,0.71648,1.49156,0.71648
54,0,0,Person,93.70117,OK,-0.83489,0.06126,2.11173,-0.18961,-0.02044,0.88728,0.49993,0.42233,0.49993
54,1,1,Person,49.70703,OK,12.81142,-0.29810,30.24743,0.01854,-0.00079,0.04023,0.70995,1.49497,0.70995
55,0,0,Person,93.35938,OK,-0.83835,0.06127,2.15072,-0.18725,-0.02141,0.93145,0.50284,0.43857,0.50284
55,1,1,Person,49.80469,OK,12.80275,-0.29591,30.20595,0.04846,-0.00206,0.10515,0.70406,1.49834,0.70406
56,0,0,Person,93.94531,OK,-0.84141,0.06133,2.18635,-0.17876,-0.02155,0.94449,0.50990,0.45459,0.50990
56,1,1,Person,55.37109,OK,12.79813,-0.29355,30.17517,0.05831,-0.00247,0.12654,0.69916,1.50191,0.69917
57,0,0,Person,93.35938,OK,-0.84383,0.06148,2.21839,-0.16811,-0.02114,0.94359,0.52056,0.47027,0.52056
57,1,1,Person,63.08594,OK,12.79907,-0.29120,30.17431,0.04001,-0.00166,0.08682,0.69965,1.50585,0.69965
58,0,0,Person,93.60352,OK,-0.84562,0.06173,2.24933,-0.15625,-0.02114,0.94144,0.53435,0.48569,0.53435
58,1,1,Person,58.88672,OK,12.79713,-0.28875,30.16333,0.05259,-0.00220,0.11411,0.69325,1.50877,0.69325
59,0,0,Person,94.18945,OK,-0.84753,0.06208,2.28695,-0.14927,-0.02169,0.97113,0.54900,0.50070,0.54900
59,1,1,Person,49.21875,OK,12.79686,-0.28665,30.14991,0.06058,-0.00252,0.13145,0.68707,1.50977,0.68707
60,0,0,Person,93.45703,OK,-0.84972,0.06259,2.32909,-0.14446,-0.02250,1.00812,0.56174,0.51541,0.56174
60,1,1,Person,53.80859,OK,12.79834,-0.28475,30.12553,0.08360,-0.00348,0.18140,0.68319,1.51149,0.68319
61,0,0,Person,93.84766,OK,-0.85197,0.06325,2.37232,-0.13881,-0.02320,1.03982,0.57384,0.52986,0.57384
61,1,1,Person,49.41406,OK,12.80204,-0.28304,30.11916,0.07614,-0.00319,0.16522,0.68261,1.51325,0.68261
62,0,0,Person,93.26172,OK,-0.85395,0.06412,2.41162,-0.13131,-0.02348,1.05071,0.58517,0.54416,0.58517
62,1,1,Person,55.07812,OK,12.79785,-0.28133,30.10247,0.08206,-0.00344,0.17806,0.68445,1.51514,0.68445
63,0,0,Person,93.70117,OK,-0.85634,0.06520,2.45260,-0.12924,-0.02392,1.07082,0.59432,0.55830,0.59432
63,1,1,Person,45.80078,OK,12.79784,-0.27941,30.08626,0.09016,-0.00378,0.19565,0.68947,1.51882,0.68947
64,0,0,Person,93.94531,OK,-0.85850,0.06645,2.49660,-0.12274,-0.02452,1.10065,0.59919,0.57254,0.59919
64,1,1,Person,42.52930,OK,12.79122,-0.27825,30.07397,0.08955,-0.00373,0.19432,0.69101,1.51534,0.69101
65,0,0,Person,93.40820,OK,-0.86020,0.06782,2.54491,-0.11375,-0.02539,1.14099,0.60118,0.58696,0.60118
65,1,1,Person,45.60547,OK,12.77802,-0.27758,30.06353,0.09352,-0.00391,0.20293,0.69233,1.51216,0.69234
66,0,0,Person,93.11523,OK,-0.86085,0.06932,2.59165,-0.09732,-0.02594,1.16614,0.59991,0.60158,0.59991
66,1,1,Person,48.43750,OK,12.76052,-0.27669,30.06133,0.09266,-0.00389,0.20106,0.69700,1.51546,0.69700
67,0,0,Person,92.52930,OK,-0.86062,0.07089,2.63548,-0.07613,-0.02590,1.17914,0.59687,0.61651,0.59687
67,1,1,Person,45.33691,OK,12.74102,-0.27534,30.02958,0.12312,-0.00513,0.26716,0.69886,1.51760,0.69886
68,0,0,Person,92.77344,OK,-0.86021,0.07250,2.68058,-0.05872,-0.02627,1.19830,0.59132,0.63179,0.59132
68,1,1,Person,37.37793,OK,12.71413,-0.27357,29.98392,0.15288,-0.00640,0.33174,0.69551,1.51888,0.69551
69,0,0,Person,93.26172,OK,-0.85916,0.07412,2.72915,-0.04254,-0.02696,1.22861,0.58400,0.64742,0.58400
69,1,1,Person,42.91992,OK,12.69204,-0.27175,29.95720,-0.21246,0.00577,-0.31593,0.69813,1.52216,0.69813
70,0,0,Person,92.72461,OK,-0.85685,0.07576,2.77155,-0.02312,-0.02673,1.22710,0.57599,0.66314,0.57599
70,1,1,Person,39.69727,OK,12.66122,-0.26981,29.92526,-0.26746,0.00616,-0.34398,0.69060,1.52470,0.69060
71,0,0,Person,91.99219,OK,-0.85377,0.07744,2.81438,-0.00927,-0.02703,1.23338,0.56702,0.67894,0.56702
71,1,1,Person,39.33105,OK,12.63244,-0.26801,29.90143,-0.30400,0.00614,-0.35017,0.69478,1.52598,0.69478
72,0,0,Person,92.04102,OK,-0.84951,0.07920,2.85377,0.00724,-0.02655,1.22460,0.55781,0.69465,0.55781
72,1,1,Person,38.11035,OK,12.61510,-0.26679,29.89170,-0.30726,0.00566,-0.33297,0.69006,1.52364,0.69006
73,0,0,Person,91.65039,OK,-0.84366,0.08105,2.88985,0.02622,-0.02592,1.20605,0.54942,0.71015,0.54942
73,1,1,Person,39.69727,OK,12.59251,-0.26616,29.89290,-0.35299,0.00447,-0.29013,0.68445,1.52024,0.68445
74,0,0,Person,92.18750,OK,-0.83613,0.08304,2.92505,0.04655,-0.02558,1.18921,0.54064,0.72523,0.54064
74,1,1,Person,42.06543,OK,12.57805,-0.26592,29.89175,-0.34908,0.00427,-0.28084,0.68147,1.51496,0.68146
75,0,0,Person,91.45508,OK,-0.82765,0.08515,2.96037,0.06423,-0.02486,1.17622,0.53312,0.73982,0.53312
75,1,1,Person,41.96777,OK,12.55448,-0.26583,29.88428,-0.38931,0.00402,-0.28232,0.68631,1.50972,0.68631
76,0,0,Person,91.50391,OK,-0.81862,0.08741,2.99870,0.08037,-0.02495,1.17636,0.52749,0.75400,0.52748
76,1,1,Person,37.67090,OK,12.54263,-0.26596,29.88669,-0.37837,0.00341,-0.24378,0.68503,1.50423,0.68503
77,0,0,Person,91.40625,OK,-0.80879,0.08984,3.03795,0.09823,-0.02512,1.17771,0.52197,0.76794,0.52197
77,1,1,Person,42.16309,OK,12.52268,-0.26625,29.88522,-0.40975,0.00319,-0.23838,0.68235,1.49832,0.68235
78,0,0,Person,91.65039,OK,-0.79760,0.09250,3.07492,0.11882,-0.02491,1.16709,0.51757,0.78151,0.51757
78,1,1,Person,40.25879,OK,12.51488,-0.26658,29.86963,-0.36494,0.00446,-0.28484,0.67959,1.49452,0.67959
79,0,0,Person,91.89453,OK,-0.78600,0.09525,3.12491,0.13712,-0.02584,1.21559,0.51404,0.79516,0.51404
79,1,1,Person,45.80078,OK,12.52049,-0.26679,29.85972,-0.28408,0.00491,-0.29055,0.68371,1.49303,0.68371
80,0,0,Person,91.60156,OK,-0.77438,0.09806,3.17957,0.15333,-0.02672,1.26368,0.51123,0.80897,0.51123
80,1,1,Person,48.53516,OK,12.51941,-0.26678,29.83861,-0.28159,0.00566,-0.32440,0.68874,1.49431,0.68874
81,0,0,Person,90.67383,OK,-0.76313,0.10090,3.24355,0.16684,-0.02837,1.33864,0.50897,0.82304,0.50897
81,1,1,Person,44.36035,OK,12.52125,-0.26668,29.82696,-0.24430,0.00571,-0.31884,0.69299,1.49519,0.69299
82,0,0,Person,90.77148,OK,-0.75133,0.10378,3.30603,0.18329,-0.02933,1.39227,0.50717,0.83739,0.50717
82,1,1,Person,48.92578,OK,12.52397,-0.26638,29.81214,-0.15515,0.00672,-0.34558,0.69553,1.49685,0.69553
83,0,0,Person,91.79688,OK,-0.72964,0.10782,3.42347,0.20351,-0.03099,1.46509,0.50667,0.85302,0.50667
83,1,1,Person,50.78125,OK,12.52898,-0.26551,29.81929,-0.16381,0.00464,-0.24993,0.70036,1.49989,0.70036
84,0,0,Person,91.65039,OK,-0.71603,0.11008,3.48384,0.22709,-0.03170,1.50332,0.50889,0.86888,0.50889
84,1,1,Person,54.68750,OK,12.53269,-0.26461,29.79103,-0.10136,0.00730,-0.35734,0.70628,1.50306,0.70627
85,0,0,Person,91.65039,OK,-0.70006,0.11258,3.53984,0.25175,-0.03189,1.51768,0.51338,0.88505,0.51338
85,1,1,Person,56.00586,OK,12.53451,-0.26349,29.77474,-0.11785,0.00694,-0.34504,0.70810,1.50577,0.70809
86,0,0,Person,92.28516,OK,-0.68346,0.11520,3.59724,0.27186,-0.03237,1.53993,0.52033,0.90154,0.52033
86,1,1,Person,58.59375,OK,12.53599,-0.26229,29.76921,-0.11229,0.00644,-0.31953,0.71772,1.50887,0.71772
87,0,0,Person,92.23633,OK,-0.66603,0.11796,3.65250,0.29308,-0.03259,1.55080,0.53025,0.91816,0.53025
87,1,1,Person,60.30273,OK,12.53813,-0.26105,29.77045,-0.09907,0.00578,-0.28539,0.72595,1.51157,0.72595
88,0,0,Person,92.96875,OK,-0.64932,0.12089,3.70224,0.30726,-0.03234,1.53875,0.54294,0.93475,0.54294
88,1,1,Person,60.59570,OK,12.55289,-0.25990,29.77852,-0.04078,0.00436,-0.20708,0.73043,1.51437,0.73043
89,0,0,Person,92.62695,OK,-0.63242,0.12406,3.74951,0.32324,-0.03188,1.52371,0.55981,0.95074,0.55981
89,1,1,Person,61.23047,OK,12.57084,-0.25826,29.77732,0.01820,0.00618,-0.27680,0.72805,1.51807,0.72805
90,0,0,Person,93.16406,OK,-0.61662,0.12747,3.79548,0.33265,-0.03162,1.50627,0.58121,0.96640,0.58121
